time;file;initializedLogFiles;extractNerRules;extractLogEventTemplates;extractOttrBase;extractOttrInstances;generateTurtleFile
2022-08-11T17:40:15.216635Z;mail.info;56446;56;287;1;515;20360
2022-08-11T17:40:15.216635Z;mail.info;56446;56;244;0;422;18585
2022-08-11T17:40:15.216635Z;mail.info;56446;56;246;0;406;17937
2022-08-11T17:40:15.216635Z;mail.info;56446;56;229;0;409;20565
2022-08-11T17:40:15.216635Z;mail.info;56446;56;246;0;411;17386
2022-08-11T17:40:15.216635Z;mail.info;56446;56;224;0;405;19950
2022-08-11T17:40:15.216635Z;mail.info;56446;56;244;1;405;17780
2022-08-11T17:40:15.216635Z;mail.info;56446;56;216;0;404;18316
2022-08-11T17:40:15.216635Z;mail.info;56446;56;228;0;414;17858
2022-08-11T17:40:15.216635Z;mail.info;56446;56;230;0;402;19929
2022-08-11T17:40:15.216635Z;mail.info;56446;56;86;0;106;5557
2022-08-11T17:45:19.762521Z;daemon.log;1227;2;280;1;68;3418
2022-08-11T22:38:31.179995Z;hpc.log;1158;6;4130;18;85;3475
2022-08-11T22:59:40.317027Z;hpc.log;1165;6;3752;24;153;3834
2022-08-11T23:02:57.748304Z;hpc.log;1127;7;3453;15;72;3650
2022-08-11T23:05:54.203104Z;hpc.log;1033;5;3333;16;85;3128
2022-08-11T23:29:55.521779Z;hpc.log;1167;6;3328;19;89;3380
2022-08-11T23:44:54.787981Z;hpc.log;1130;5;3149;17;89;3175
2022-08-18T22:06:15.960119Z;dl.log;2192;5;6765;19;238;6442
2022-08-21T01:29:07.017741Z;dl.log;7544;6;3092;21;253;6730
2022-08-21T02:05:36.556425Z;dl.log;1491;5;4417;29;167;2752
2022-08-21T02:14:17.857435Z;dl.log;1476;5;2212;29;264;3075
2022-08-21T02:16:28.127265Z;dl.log;1510;5;2614;25;213;6546
2022-08-21T16:54:55.004699Z;dl.log;1500;5;2259;35;212;6610
2022-08-22T13:36:28.356629Z;dl.log;1844;5;2083;27;210;6426
2022-08-22T13:39:52.538949Z;dl.log;1491;4;2166;38;236;6411
